"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Chemicals","ICHDRY","Drying / Separation services for the other chemicals subsector","ICHDRYLPG01","Drying / separation technology based on liquified petroleum gas","Oil","PJ"
"Chemicals","ICHDRY","Drying / Separation services for the other chemicals subsector","ICHDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Chemicals","ICHDRY","Drying / Separation services for the other chemicals subsector","ICHDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Chemicals","ICHHTH","High temperature heat for the other chemicals subsector","ICHHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Chemicals","ICHHTH","High temperature heat for the other chemicals subsector","ICHHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
"Chemicals","ICHHTH","High temperature heat for the other chemicals subsector","ICHHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Chemicals","ICHHTH","High temperature heat for the other chemicals subsector","ICHHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Natural gas","PJ"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCE01","Generic process technology for the production of HVCs","Natural gas","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCELEC01","Electric Steam Cracker for high value Chemicals","Electricity","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCHYD01","Hydrogen fuel switching in High Value Chemicals","Hydrogen","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCN01","Oil naphtha steam cracker for the production of high value chemicals","Oil","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCO01","Oil byproduct catalytic cracker for the production of high value chemicals","Standard_FF","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCQB01","Steam cracker with post-combustion CCS with biomass boiler for the production of high value chemicals","CCS","Mt"
