"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPFCH01_2030","Hydrogen fuel cell CHP (lower cost)","Hydrogen","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISLTHELCHP01","Blast furnace gas boiler for low temheat pump","Heat pump","PJ"
"Iron & steel","IISPIR","Pig iron (intermediate product, in Mt)","IISBLAFUR01","Blast furnace, standard","Standard_FF","Mt"
"Iron & steel","IISPIR","Pig iron (intermediate product, in Mt)","IISHISAR01","HISarna blast furnace","Standard_FF","Mt"
"Iron & steel","IISPIR","Pig iron (intermediate product, in Mt)","IISHISARQ01","HISarna blast furnace CCS","CCS","Mt"
"Iron & steel","IISPIR","Pig iron (intermediate product, in Mt)","IISTGRBF01","Top-gas recovery blast furnace","Standard_FF","Mt"
"Iron & steel","IISPIR","Pig iron (intermediate product, in Mt)","IISTGRBFQ01","Top-gas recovery blast furnace with CCS","CCS","Mt"
"Iron & steel","IISSNT","Sinter (intermediate product, in Mt)","IISSINTER01","Sinter plant, standard","Standard_FF","Mt"
"Lime","ILMCLK","Clinker","ILMKLNCLQ01","Calcium looping kiln","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLND01","Dry kiln, best available technology (BAT)","Standard_FF","Mt"
"Lime","ILMCLK","Clinker","ILMKLNMAQ02","Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLNMCQ01","Dry kiln with coal CHP and MEA CCS","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLNMNQ01","Dry kiln with natural gas CHP and MEA CCS","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLNOXQ01","BAT kiln full oxyfuel (CCS)","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLNPOQ01","Partial oxyfuel dry kiln with CCS","CCS","Mt"
"Lime","ILMCLK","Clinker","ILMKLNWST02","Fluidised bed kiln with waste utilisation","Standard_FF","Mt"
"Lime","ILM","Lime (demand commodity, in Mt)","ILMGRIMIX01","Grinding and mixing technology","Electricity","Mt"
"Lime","ILM","Lime (demand commodity, in Mt)","ILMGRIMIX02","Grinder and mixer with increased clinker substitution","Electricity","Mt"
"Lime","ILM","Lime (demand commodity, in Mt)","ILMLOCARB01","Alternative low carbon cement","Standard_FF","Mt"
"Mechanical engineering","IME","Demand commodity for the mechanical engineering sector (in PJ of useful energy)","IME01","Demand technology (not an actual technology only transforms energy services (IMEDRY, IMELTH, IMEMOT, IMEOTH, IMESPC) into final demand commodity (IME))","Standard_FF","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHLPG01","High-temperature heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Mechanical engineering","IMEHTH","High temperature heat for the mechanical engineering sector","IMEHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Natural gas","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Mechanical engineering","IMELTH","Low temperature heat for the mechanical engineering sector","IMELTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Electricity","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCHCO01","Low-temperature space heat  technology based on coal (boiler)","Coal","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCLPG01","Low-temperature space heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Mechanical engineering","IMESPC","Low temperature space heat for the mechanical engineering sector","IMESPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Natural gas","PJ"
"Mechanical engineering","IMEMOT","Motor drive for the mechanical engineering sector","IMEMOTELC01","Electric motor technology","Electricity","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Mechanical engineering","IMEOTH","Other energy services for the mechanical engineering sector","IMEOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Non-ferrous metals","INF","Demand commodity for the non-ferrous metals sector (in PJ of useful energy)","INF01","Demand technology (not an actual technology only transforms energy services (INFHTH, IFDMOT, INFOTH) into final demand commodity (INF))","Standard_FF","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHLPG01","High-temperature heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Non-ferrous metals","INFHTH","High temperature heat for the non-ferrous metals sector","INFHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Natural gas","PJ"
"Non-ferrous metals","INFMOT","Motor drive for the non-ferrous metals sector","INFMOTELC01","Electric motor technology","Electricity","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Non-ferrous metals","INFOTH","Other energy services for the non-ferrous metals sector","INFOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Other","IOI","Demand commodity for the other industries sector (in PJ of useful energy)","IOI01","Demand technology (not an actual technology only transforms energy services (IOIDRY, IOILTH, IOIMOT, IOIOTH, IOISPC) into final demand commodity (IOI))","Standard_FF","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYBIOS01","Drying / separation technology based on solid biomass","Biomass","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYELC01","Drying / separation technology based on electricity","Electricity","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYELCHP01","Drying / separation technology based on heat pump","Heat pump","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYHCO01","Drying / separation technology based on coal","Coal","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYHDG01","Drying / separation technology based on hydrogen","Hydrogen","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYLPG01","Drying / separation technology based on liquified petroleum gas","Oil","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Other","IOIDRY","Drying / Separation services for the other industries sector","IOIDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Other","INDHFCOTH","Dummy demand for other HFC emissions","INDHFCOTH01","Dummy demand for Other HFC emissions","Standard_FF","kt"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Other","IOILTH","Low temperature heat for the other industries sector","IOILTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Electricity","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCHCO01","Low-temperature space heat  technology based on coal (boiler)","Coal","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCLPG01","Low-temperature space heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Natural gas","PJ"
"Other","IOISPC","Low temperature space heat for the other industries sector","IOISPCSTM01","Low-temperature space heat technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Other","IOISTM","Low-temperature steam/heat from CHP for the other industries sector","IOICHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Other","IOISTM","Low-temperature steam/heat from CHP for the other industries sector","IOICHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Other","IOISTM","Low-temperature steam/heat from CHP for the other industries sector","IOICHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Other","IOISTM","Low-temperature steam/heat from CHP for the other industries sector","IOISTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Other","IOIMOT","Motor drive for the other industries sector","IOIMOTELC01","Electric motor technology","Electricity","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Other","IOIOTH","Other energy services for the other industries sector","IOIOTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Paper","IPPBPA","Basic paper (intermediate product, in Mt)","IPPPRODRY01","Dryers (standard)","Electricity","Mt"
"Paper","IPR","Demand commodity for the printing subsector (in PJ of useful energy)","IPR01","Demand technology (not an actual technology only transforms energy services (IPRDRY, IPRLTH, IPRMOT, IPRREF, IPROTH) into final demand commodity (IPR))","Standard_FF","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYBIOS01","Drying / separation technology based on solid biomass","Biomass","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYELC01","Drying / separation technology based on electricity","Electricity","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYELCHP01","Drying / separation technology based on heat pump","Heat pump","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYHDG01","Drying / separation technology based on hydrogen","Hydrogen","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYLPG01","Drying / separation technology based on liquified petroleum gas","Oil","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Paper","IPRDRY","Drying / Separation services for the printing subsector","IPRDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Paper","IPP","Final paper products (demand commodity, in Mt)","IPPFINPRO01","Technologies for the production of the final paper products from basic paper","Standard_FF","Mt"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Paper","IPRLTH","Low temperature heat for the printing subsector","IPRLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCBIOS01","Low-temperature heat space technology based on solid biomass (boiler)","Biomass","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCELC01","Low-temperature heat space technology based on electricity (boiler)","Electricity","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCHDG01","Low-temperature heat space technology based on hydrogen (boiler)","Hydrogen","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCLPG01","Low-temperature heat space technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCNGA01","Low-temperature heat space technology based on natural gas (boiler)","Natural gas","PJ"
"Paper","IPRSPC","Low temperature space heat for the printing subsector","IPRSPCSTM01","Low-temperature space heat technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Paper","IPRSTM","Low-temperature steam/heat from CHP for the other industries","IPRCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Paper","IPRSTM","Low-temperature steam/heat from CHP for the other industries","IPRCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Paper","IPRSTM","Low-temperature steam/heat from CHP for the other industries","IPRCHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Paper","IPRSTM","Low-temperature steam/heat from CHP for the other industries","IPRSTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPBOICOA01","Coal boiler","Coal","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPBOINGA01","Natural gas boiler","Natural gas","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPCHPGT01","Gas turbine CHP based on natural gas","Standard_FF","PJ"
"Paper","IPPLTH","Low-temperature steam/heat from CHP/boilers for the paper sector","IPPLTHELCHP01","Heat pump","Heat pump","PJ"
"Paper","IPRMOT","Motor drive for the printing subsector","IPRMOTELC01","Electric motor technology","Electricity","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Paper","IPROTH","Other energy services for the printing subsector","IPROTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Paper","IPPPBD","Paper before drying (intermediate product, in Mt)","IPPPROPRS01","Press section (standard)","Standard_FF","Mt"
"Paper","IPPPBP","Paper before pressing (intermediate product, in Mt)","IPPPROOTH01","Technologies for the other production steps (standard)","Standard_FF","Mt"
"Refineries","PRCOIL","Petroleum products - outputs from oil refining","POILREF01","Oil refinery with relatively fixed output mix","Standard_FF","Mt"
"Refineries","PRCOIL","Petroleum products - outputs from oil refining","POILREF02","Oil refinery with flexible output mix","Standard_FF","Mt"
"Refineries","PCHPHEAT","Process heat for the processing sector","PCHP-CCP01","CHP CCGT plant for petroleum refineries (flexible input of refinery gas, natural gas and heavy fuel oil)","Natural gas","PJ"
"Textiles","ITX","Demand commodity for the textiles sector (in PJ of useful energy)","ITX01","Demand technology (not an actual technology only transforms energy services (ITXDRY, ITXLTH, ITXMOT, ITXSPC) into final demand commodity (ITX))","Standard_FF","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYBIOS01","Drying / separation technology based on solid biomass","Biomass","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYELC01","Drying / separation technology based on electricity","Electricity","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYELCHP01","Drying / separation technology based on heat pump","Heat pump","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYHCO01","Drying / separation technology based on coal","Coal","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYHDG01","Drying / separation technology based on hydrogen","Hydrogen","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYLPG01","Drying / separation technology based on liquified petroleum gas","Oil","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Textiles","ITXDRY","Drying / Separation services for the textiles sector","ITXDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Textiles","ITXLTH","Low temperature heat for the textiles sector","ITXLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Electricity","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCHCO01","Low-temperature space heat  technology based on coal (boiler)","Coal","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCLPG01","Low-temperature space heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Natural gas","PJ"
"Textiles","ITXSPC","Low temperature space heat for the textiles sector","ITXSPCSTM01","Low-temperature space heat technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Textiles","ITXSTM","Low-temperature steam/heat from CHP for the textiles sector","ITXCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Textiles","ITXSTM","Low-temperature steam/heat from CHP for the textiles sector","ITXCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Textiles","ITXSTM","Low-temperature steam/heat from CHP for the textiles sector","ITXCHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Textiles","ITXSTM","Low-temperature steam/heat from CHP for the textiles sector","ITXSTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Textiles","ITXMOT","Motor drive for the textiles sector","ITXMOTELC01","Electric motor technology","Electricity","PJ"
"Vehicles","IVH","Demand commodity for the vehicles sector (in PJ of useful energy)","IVH01","Demand technology (not an actual technology only transforms energy services (IVHHTH, IVHLTH, IVHMOT, IVHOTH, IVHSPC) into final demand commodity (IVH))","Standard_FF","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHLPG01","High-temperature heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Vehicles","IVHHTH","High temperature heat for the vehicles sector","IVHHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Natural gas","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
