"technology_code","technology_name","sector","technology_category","output_commodity","output_unit","emission_class","process_share_pct","process_co2_kt_per_unit","process_ch4_kt_per_unit","process_n2o_kt_per_unit","process_total_kt_per_unit","energy_direct_kt_per_unit","energy_direct_biomass_zerorated_kt_per_unit","energy_indirect_kt_per_unit","direct_total_kt_per_unit","consumes_biomass_fuel","emissions_released","n_emitting_fuel_inputs","emitting_fuel_commodities","retrofit_to","fuel_factor_year"
"ICR01","Demand technology (not an actual technology only transforms energy services (ICRDRY, ICRHTH, ICRLTH, ICRMOT, ICROTH, ICRSPC) into final demand commodity (ICR))","Ceramics","Standard_FF","ICR","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICRDRYELC01","Drying / separation technology based on electricity","Ceramics","Electricity","ICRDRY","PJ","E_zero_direct",,0,0,0,0,0,0,105.263157894737,0,FALSE,1,1,"INDDISTELC",,2021
"ICRDRYELCHP01","Drying / separation technology based on heat pump","Ceramics","Heat pump","ICRDRY","PJ","E_zero_direct",,0,0,0,0,0,0,33.3333333333333,0,FALSE,1,1,"INDDISTELC",,2021
"ICRDRYHDG01","Drying / separation technology based on hydrogen","Ceramics","Hydrogen","ICRDRY","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICRHTHELC01","High-temperature heat technology based on electricity (boiler)","Ceramics","Electricity","ICRHTH","PJ","E_zero_direct",,0,0,0,0,0,0,111.111111111111,0,FALSE,1,1,"INDDISTELC",,2021
"ICRHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Ceramics","Hydrogen","ICRHTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICRLTHELC01","Low-temperature heat  technology based on electricity (boiler)","Ceramics","Electricity","ICRLTH","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICRLTHELCHP01","Low-temperature heat  technology based on heat pump","Ceramics","Heat pump","ICRLTH","PJ","E_zero_direct",,0,0,0,0,0,0,33.3333333333333,0,FALSE,1,1,"INDDISTELC",,2021
"ICRLTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Ceramics","Hydrogen","ICRLTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICRMOTELC01","Electric motor technology","Ceramics","Electricity","ICRMOT","PJ","E_zero_direct",,0,0,0,0,0,0,102.249488752556,0,FALSE,1,1,"INDDISTELC",,2021
"ICROTHELC01","Generic process technology for other energy services based on electricity","Ceramics","Electricity","ICROTH","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICROTHHDG01","Generic process technology for other energy services based on hydrogen","Ceramics","Hydrogen","ICROTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICRSPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Ceramics","Electricity","ICRSPC","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICRSPCELCHP01","Low-temperature space heat technology based on heat pump","Ceramics","Heat pump","ICRSPC","PJ","E_zero_direct",,0,0,0,0,0,0,25,0,FALSE,1,1,"INDDISTELC",,2021
"ICRSPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Ceramics","Hydrogen","ICRSPC","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHHVCSCELEC01","Electric Steam Cracker for high value Chemicals","Chemicals","Electricity","IHVC","Mt","A_pure_process",100,396.097375488281,0,0,396.097375488281,0,0,1982,396.097375488281,FALSE,1,1,"INDDISTELC",,2021
